,mvt,rbk_str
0,B1 D1 U2 F2 R2 U1 D1 R2 B2 L2 ,booywwwyybgyoryoryoooggbgbgwwwwyybrrygbworwrrggrbbogbr
1,D1 U2 F2 R2 U1 D1 R2 B2 L2 ,wwyywwwyybgboroorooooggbgbgwwwwyyyyybgbrorrrrrorgbbgbg
2,U2 F2 R2 U1 D1 R2 B2 L2 ,wwyywwwyybgborogbgoooggborowyywyywwybgbrorgbgrorgbbrrr
3,F2 R2 U1 D1 R2 B2 L2 ,yywwwyywwbgborogbgrorggborowyywyywwybgbrorgbgooogbbrrr
4,R2 U1 D1 R2 B2 L2 ,yywwwyyywggbrrobbgorobggrorwwywyywwybggroogbbooogbbrrr
5,U1 D1 R2 B2 L2 ,yyywwyyyygbborrbggorrbggroowwwwyywwwbggroogbbroogbborr
6,D1 R2 B2 L2 ,yyyywyywyorrorrbggbggbggroowwwwyywwwrooroogbbgbbgbborr
7,R2 B2 L2 ,yyyywyywyorrorrorrbggbggbggwywwywwwwroorooroogbbgbbgbb
8,B2 L2 ,yywywwywwrrorrorrobggbggbggwyywyywwyroorooroogbbgbbgbb
9,L2 ,ywwywwywwrrrrrrrrrbggbggbggwyywyywyyooooooooobbgbbgbbg
10,U2 L1 B0 R1 F1 L0 B0 U1 F0 B2 ,oorrwbgggwobrrryworrrggywgboyrgyogbgywywowoobwybbbbwyy
11,L1 B0 R1 F1 L0 B0 U1 F0 B2 ,gggbwrrooywyrrrywowybggywgboyrgyogbgwobwowoobrrrbbbwyy
12,B0 R1 F1 L0 B0 U1 F0 B2 ,wgggwrwooywyrrrywooybggyggbyyrbyorbgbwbooowworrrbbbwyg
13,R1 F1 L0 B0 U1 F0 B2 ,yrogwrwooywgrrbywroybggyggbyyrbyobowgwbgoowwowbrybrgbr
14,F1 L0 B0 U1 F0 B2 ,yrggwywowgbrwrwyryoyoggrggoyybbyybobgwbgoowwowbrobrrbr
15,L0 B0 U1 F0 B2 ,yrggwygwybbryrwyryoroyggoggboobyybobgwwgoowwwwbrobrrbr
16,B0 U1 F0 B2 ,rrgrwyrwybbryrwyryyroggggggoooyyyoobwggwowwowwbbobbrbb
17,U1 F0 B2 ,rwyrwyrwybbbyroyroyroggggggoooyyywwwgggrowrowrowbbbbbb
18,F0 B2 ,yyywwwrrryroyroyrogggggggggoooyyywwwrowrowrowbbbbbbbbb
19,B2 ,yyywwwwwwrrorrorrogggggggggyyyyyywwwroorooroobbbbbbbbb
20,D2 B2 R0 D1 F2 L1 D2 R0 U2 F0 ,wyobwyyyyrrgrryrggbbbwgbbggwrywyowgorooboorrowoggbwywb
21,B2 R0 D1 F2 L1 D2 R0 U2 F0 ,wyobwyyyyrrgrryrrobbbwgbywbogwoywyrwrooboorggwoggbwbgg
22,R0 D1 F2 L1 D2 R0 U2 F0 ,wrybwyyyyrrrrrbrrrbbbwgbywbogwoywoywoooyoogggggbwbggow
23,D1 F2 L1 D2 R0 U2 F0 ,wrbbwbyybrrrrrrrbrbbwwgwywwoggoywoygoooyoogggygbybgyow
24,F2 L1 D2 R0 U2 F0 ,wrbbwbyybrrrrrryowbbwwgwrbrgwggyyooooooyooywwygbybgggg
25,L1 D2 R0 U2 F0 ,wrbbwbgwgwrrorroowrbrwgwwbbbyygyyoooooyyorywrygbybgggg
26,D2 R0 U2 F0 ,rrbwwbwwgwrrorroowbbrggwobbgyygyybooyrroowoyyyggybbggw
27,R0 U2 F0 ,rrbwwbwwgwrrorroyybbrggwggwoobyygyygyrroowoowyggybbobb
28,U2 F0 ,rrrwwwwwwoowyrryrrbbbggggggoooyyyyyyyrroowoowgggbbbbbb
29,F0 ,wwwwwwrrryrryrryrrgggggggggoooyyyyyyoowoowoowbbbbbbbbb
